name,logFC,P.Value
ENDOV,0.567554273,0.025300011
ZNF619,0.606007828,0.025319941
TCTN3,0.929720864,0.025320522
LOC100422044,1.324565928,0.02533173
ADHFE1,0.876188211,0.02536376
ISG20L2,0.837119675,0.025372685
ACSM2B,0.964480331,0.025384498
SPATA20,0.57511623,0.025390316
LINC01278,0.860630614,0.025391806
ASB13,0.604912124,0.025393417
RASA1,0.737961749,0.025414038
GLS2,0.76348067,0.025417812
DDX18,0.774043564,0.025426016
FRY,0.728927256,0.025444684
PRPF40B,0.689429898,0.025452435
PCAT2,0.718234244,0.025458209
ZBTB21,0.671844868,0.025477167
DCC,1.140484004,0.025521402
CTAGE3P,0.992449977,0.025544057
ZDBF2,0.931941569,0.025550468
ZNF391,1.464247974,0.025571409
AP4B1,0.837658561,0.025573772
TRO,0.834856795,0.025585157
FAM76B,0.832038883,0.0255937
NDUFA7,0.653840801,0.025596568
ARPP21,1.06542073,0.025605097
ITFG2,0.731263648,0.025606481
CIAPIN1,0.74686403,0.025610798
LEMD3,0.585589849,0.025621965
CLPX,0.736609182,0.025624805
SAMD12,0.527675276,0.025625955
ATP6V1D,0.829735385,0.025628959
MOV10L1,0.717508044,0.025645193
NRG3,0.685829124,0.025656555
NRXN1,1.045856427,0.025656574
MCM8-AS1,0.864515136,0.025663161
ROPN1L,0.999028265,0.025678229
TIMM23B-AGAP6,1.01087946,0.025680105
DNMT3B,0.87895456,0.025704372
ASNS,0.827843612,0.025714116
KLHDC9,0.693618321,0.025734107
CAPRIN2,0.698822617,0.025740949
TTC14,0.782973157,0.025759777
SRD5A1,0.557667222,0.025771734
WASF1,0.754178834,0.025772414
MAD2L1BP,1.193861605,0.025785389
CPNE7,0.707964317,0.025795374
ALKBH6,0.677626106,0.025797268
STAM,1.024216335,0.025805834
LGI2,1.121167672,0.025814638
VEZT,0.835145564,0.025833243
MAST3,0.456703316,0.025844198
SEH1L,0.751369194,0.02586016
ALDH5A1,0.613411727,0.025862347
TESPA1,0.973884911,0.025867577
PELP1,0.461516564,0.025879456
SRP19,0.881602004,0.025883165
LOC100130587,1.299195782,0.025885472
NEFL,0.831860429,0.025903293
LINC02268,0.717914219,0.02590339
MXD3,0.61359891,0.025927044
DNAAF5,0.604141349,0.025938059
GSTM4,0.690631813,0.02594001
ATP6V1A,1.016428846,0.025962413
PLAC8L1,0.806551633,0.025962753
UTP25,0.690566675,0.025965867
SPRN,0.696154008,0.025969176
RABGAP1L,0.764463337,0.025971082
ZNF211,0.780882227,0.025973034
UBR4,0.700271849,0.025992211
SCN3B,0.592527607,0.02601227
MCEE,1.019390254,0.026033564
KRT8,0.693932505,0.026052305
NDUFA11,0.562723843,0.026052617
RPS2P14,1.071710748,0.02605587
NOA1,0.559065647,0.026059822
BABAM1,0.602085655,0.0260691
CACNA2D1-AS1,0.877526865,0.026071882
KCNA1,0.89615946,0.026090187
ODAPH,1.452681808,0.026093769
SRP72,0.719758835,0.026093997
PIGK,0.970300182,0.026096335
ANKRD29,0.789110266,0.026100944
DHX8,0.694971922,0.02616063
MIR570,1.009059088,0.026170697
MTX1,0.657949086,0.026178228
ATP5PD,0.866187756,0.026185169
RNASEH1P2,1.135861424,0.026203297
ATXN1,0.652602171,0.026203538
MRPL21,0.768425024,0.026205375
LDLRAD2,0.933154686,0.026214485
FBXO10,0.804575747,0.026220424
LOC554206,1.058347163,0.026246282
WASHC2A,0.651858265,0.026258454
UBE4B,0.698234863,0.026270998
ODF2,0.623325626,0.026271575
ROBO3,0.591092766,0.026282539
HEATR1,0.834516536,0.026305219
LOC100422627,1.277033965,0.026309361
PRPF40A,0.929429812,0.026309689
TNRC6A,0.841043862,0.026311504
PSMB4,0.845629981,0.026311982
NT5DC3,0.846450314,0.026314656
CCR10,0.951322308,0.026314817
SH3BP5-AS1,0.826203694,0.026323604
CAMK2G,0.738991726,0.026358308
PI15,1.468072063,0.026367504
LINC01518,0.918744935,0.026367638
TXN,0.964012705,0.026372945
ATAD5,1.030279325,0.026381409
LIMS2,-0.710288082,0.026384748
FLJ12825,0.800645522,0.026394983
UROD,0.71739622,0.02639849
CYBB,1.222685534,0.02641215
GATAD1,0.713415118,0.026417072
TDRKH,0.781920925,0.026432465
LRRC66,1.038155917,0.026433202
EMC8,0.576725893,0.026437907
ATP5MC3,1.180568726,0.026459086
COX5B,0.709826053,0.026467586
TRIM36,0.863632359,0.026485552
TSC1,0.70666905,0.02648743
TMEM120B,0.61983339,0.026507329
IL11RA,0.724191046,0.02652708
TUBA1B,0.762086402,0.026535347
STX18-AS1,0.725763512,0.026535711
BZW2,0.8839126,0.026572453
PDPR2P,0.816655371,0.026581426
RAP1GDS1,0.871663081,0.026589443
PTPRR,1.079097027,0.026613332
ZDHHC23,1.252126059,0.026614359
PBX2,0.902482733,0.026625587
MORN2,0.885138776,0.026627758
RIPOR3,-0.773827442,0.026642295
RAD51D,0.631996761,0.026654274
APBB1,0.598859698,0.026662503
CYP4A11,1.191266776,0.026675123
EAPP,0.839555505,0.026676513
KCNN4,0.936734813,0.026696334
CPNE5,0.641410469,0.026722664
DLG2,0.925549467,0.026723574
SMTN,-0.700491442,0.026779267
P2RX4,0.591092352,0.026783156
ZNF697,0.638863495,0.026786715
ANKRD36C,0.860048928,0.026800106
PPWD1,0.847808805,0.026802974
TRAPPC4,0.631739103,0.026806317
MCCC1,0.701707929,0.026809668
LHFPL5,0.755863882,0.026832568
KRT8P46,0.676125667,0.026844531
MRPL20,0.649323478,0.026850658
NT5C3B,0.492581522,0.026856809
LINC01285,0.758424324,0.026867036
GPALPP1,0.700461078,0.026867234
NDUFAB1,0.858086894,0.026883037
OMG,1.021747329,0.026889269
LOC100506606,1.044311368,0.026905072
SLITRK1,0.847067373,0.026928996
RTL8B,0.576141976,0.026937097
LINC01234,0.75480627,0.026943103
RASD1,0.618284403,0.02694526
FAM153B,1.079597716,0.026960498
ESPNL,-1.31275043,0.026969623
TCAF1,0.750104713,0.026984825
NRBP1,0.617805228,0.026991089
MIR600HG,0.71279548,0.027003592
KBTBD11-AS1,0.871856774,0.027022118
ANK2,0.758520065,0.027024205
KIF11,0.83908552,0.027027602
TRAPPC12,0.648434438,0.027030013
LOC100506688,0.708101741,0.027030382
SERPINF1,0.744015126,0.027034684
MC4R,1.087469587,0.027063837
GTF2A1,0.897094213,0.027073677
GDPD1,0.846333077,0.027074943
TMOD1,0.774190372,0.027080839
TIAM1,0.687766805,0.027084774
LSM11,0.831717963,0.027097951
ZAP70,-0.922788639,0.027109642
FUS,0.848789492,0.027112043
RGL1,1.053129794,0.027121382
PPP4R4,0.88623147,0.027126841
DNAAF10,0.805774749,0.027130279
ANKS1B,0.70786148,0.027137092
OCIAD2,1.118678585,0.027144749
PITPNA,0.707677695,0.027146071
KNDC1,0.53130523,0.027148036
EARS2,0.53928618,0.027155416
CCAR2,0.582145038,0.027172036
PTCD2,0.816584667,0.027175094
LINC00672,0.751895768,0.027181749
INPP5F,0.932902852,0.027199678
CAMK2A,0.618536189,0.027200702
CYP2C9,1.033606163,0.027203027
NUP93,0.797093472,0.027224817
PIAS2,0.86616607,0.027233126
TMEM145,0.811097651,0.027240959
PGAP2,0.899286796,0.027250018
GIT2,0.777539247,0.027256455
RLF,0.955232781,0.02727633
NUP43,0.718072879,0.027286786
SHANK2,0.694933458,0.027298301
SUPT7L,0.718523678,0.027304991
OXCT2P1,1.067115253,0.027308737
LMLN,0.637977513,0.027310494
SNRNP200,0.61318883,0.027321635
SPATA21,0.982816618,0.027323841
TTI2,0.78509636,0.027348413
CDC7,1.070538905,0.027360143
CD101,1.519619116,0.027362575
LOC157273,0.788926699,0.027371513
EXOSC2,0.79316984,0.027373897
ANAPC1,0.79561737,0.027387603
CHAF1A,0.585290626,0.027389938
TIMM17B,0.597168843,0.027396854
NDUFA4L2,0.674640079,0.02741568
WBP11,0.860316792,0.027432225
BRD1,0.627896197,0.027445936
HPCA,0.79603518,0.027459989
SYTL5,1.197456021,0.027472487
CCDC87,1.026127837,0.027487047
TAGAP-AS1,0.869605873,0.027514037
HSF2,1.032326716,0.02751786
AP1S2,0.985593275,0.027520313
MGC16275,0.76661898,0.027530876
DNAJA2,0.824818278,0.027532228
MIR1267,1.181370747,0.027549471
PLAAT1,0.872099139,0.027549911
B3GALT6,0.486977422,0.027555204
EDC4,0.653244924,0.027556187
ZNF786,0.566169705,0.027586954
TRAPPC14,0.588019999,0.027591807
LAS1L,0.917449832,0.027601241
YIF1A,0.582853547,0.027607798
MACROD2,0.863535377,0.027613782
ZNF682,0.909411629,0.027617197
ADAM20P1,1.111906494,0.02761912
NCBP1,0.624741693,0.027622349
CPSF3,0.92749362,0.02764004
PRKCQ,0.875632406,0.027686179
ZDHHC6,0.774475877,0.027692757
LOC401463,1.106874304,0.027694629
GNRHR2,0.812134349,0.027697185
IAH1,0.602561902,0.027707941
RIOX1,0.568454809,0.027713124
C4orf50,0.766615592,0.027716662
SEC14L5,0.85376027,0.027719233
RAB11B,0.446548411,0.027720236
PPFIA1,0.605058864,0.02772559
RCCD1,0.662955951,0.027730594
CCDC32,0.637950015,0.027770846
ERI2,0.911207068,0.027777366
CNP,0.672148736,0.027779693
COL21A1,0.804897783,0.027780453
ATP6AP1,0.735031989,0.027810088
PNKP,0.546427057,0.027819883
KRT8P33,0.86164456,0.027828769
NGEF,0.664072484,0.027859749
AASDHPPT,0.826693292,0.027868487
RNF207,0.863489624,0.02788509
TMEM177,0.733129565,0.027896407
ATP6V0E2,0.628825203,0.027901284
MRAP2,1.101978764,0.027906821
MICU1,0.773525506,0.027925866
SNCA,1.119322896,0.02794514
DYNC1H1,0.60528202,0.027947835
L1TD1,0.948453268,0.02794831
FCRL5,1.028690089,0.027960564
MRPL40,0.828062639,0.027971473
APOBEC3F,-0.602113803,0.027972478
RRAGA,0.737493449,0.027974313
SNORA52,1.133688084,0.027994113
ALG13,1.25749193,0.02801024
GALNT14,0.765168287,0.02802073
RCL1,0.555488974,0.028032575
GAS8,0.801183814,0.028036686
ZNF747,0.417442446,0.02805296
MTCL1,0.835946586,0.028082543
ATP23,0.720026611,0.028082619
PGRMC1,0.738799848,0.028086831
TIMM10,0.936049638,0.028090996
HMGB3,0.905320976,0.028102652
NICN1,1.163054974,0.028125125
CREG2,0.695116035,0.028133547
STAT2,0.581807214,0.028150185
CNOT9,0.57826432,0.028154411
ARID4B,0.69560439,0.028170951
SYNJ2BP-COX16,1.021279267,0.028173723
SNX10,1.162070791,0.028174819
ANKRD35,0.514339222,0.028185063
LINC00461,0.70395652,0.028200214
MTFMT,0.699697838,0.028200612
TMC3,1.07445172,0.028204539
LOXHD1,0.995873264,0.028206814
MAL2,0.96314389,0.028208481
HDAC6,0.630686985,0.028224997
RGS9BP,-0.649964012,0.028232616
FTCDNL1,0.653448143,0.028237103
PPARGC1A,0.961586783,0.028238074
TIA1,1.030459147,0.028251154
WDR3,0.95614046,0.028252764
ATL2,0.68375346,0.028252909
ZNF549,0.717421493,0.028286054
MOAP1,1.415188531,0.028323052
ZNF283,0.729588886,0.028326133
SLC38A7,0.767559063,0.028329919
LOC440300,0.724927221,0.028333323
LY75-CD302,2.810806748,0.028354542
PIK3IP1,0.661683007,0.028359126
APLN,-0.70178261,0.028361402
SLC35B3,0.779271185,0.028371754
SNORA5C,0.866854126,0.028388133
ZMAT2,0.745767712,0.028394981
CYB5D2,1.042685915,0.02840576
HMCES,0.601008869,0.028408034
ZBTB48,0.594205341,0.028427736
POP1,0.980546153,0.028432658
CORO1A,0.814300207,0.028437284
BTAF1,0.938054553,0.028452436
PSMD1,0.859847895,0.02847763
FOXP2,0.87003236,0.02848003
RIC3,0.690134479,0.028513518
RPL26P6,1.03164335,0.028516959
EPHA3,1.140097481,0.028519882
MAP1B,0.689396479,0.028521053
SCN1A-AS1,0.836434108,0.028550836
EMD,0.639642795,0.028564627
GANAB,0.689440335,0.028599819
MIOS,0.662222799,0.028606291
PRPF8,0.6569827,0.028615766
LOC105373159,0.636674853,0.028627914
C11orf58,0.709993964,0.028653067
MVK,0.713498399,0.028655282
TMEM241,0.770031855,0.02866573
NOVA2,0.493390624,0.028667378
TCAF1P1,0.739343404,0.028683802
UBE2T,1.155598212,0.028686066
TNRC6B,0.605525769,0.028703487
BIRC6,0.95659606,0.028708256
EPHA10,0.863109968,0.028709999
GPR22,1.201966363,0.028728168
TLN2,0.63618402,0.028734836
RNF112,0.792394486,0.028747801
GRHL1,0.805944392,0.028748224
GMCL1,0.585653589,0.028774384
TLX2,1.265645477,0.028794375
CCDC43,0.719816543,0.028804378
NCKIPSD,0.587890664,0.028810801
LINC02057,1.023788464,0.028812025
ZNF33B,0.851330856,0.02881236
PTPN2,0.682335652,0.028831616
BRINP1,0.679706387,0.028847209
UBE2D4,0.751807195,0.0288476
DZANK1,0.677689365,0.02888343
NDUFS5,1.002048878,0.028911741
SLFN5,0.895715354,0.02891544
WDR17,0.61964445,0.028918362
RSBN1,0.747346938,0.028935081
TRIP10,-0.756376514,0.028960494
DNAH7,0.7794272,0.028975915
LINC02112,1.045480874,0.028987691
SECISBP2,0.79414236,0.029005361
LOC400622,0.755151691,0.029041074
PSIP1,0.665311022,0.029064549
STAR,0.976871523,0.029071446
MYRIP,0.648314618,0.029078633
CEROX1,0.595196999,0.029078909
HNRNPA0,0.627460177,0.029088079
TDRD6,0.913140191,0.029088423
USP14,0.643018606,0.029104881
CCNO,0.656322492,0.02911055
OR56A1,0.727360565,0.029115725
CCNB1IP1,0.780434126,0.029134803
SYS1-DBNDD2,1.044835967,0.029175212
C3orf33,0.525018929,0.02917973
NPRL2,0.643627812,0.029194035
REV1,0.842580195,0.029222702
LINC01122,1.149888724,0.029223861
DGKH,0.861325694,0.029231097
LOC102724421,1.044783602,0.029236173
KIFBP,0.959895249,0.029242864
L3HYPDH,0.851711276,0.029260134
SIPA1L1,0.706816806,0.029264922
RNU5E-1,1.601322901,0.029265469
SLX9,0.51146686,0.029265878
SUGP1,0.653822209,0.029275882
TBR1,0.714101622,0.029279546
IDE,0.704406761,0.029284963
TMEM17,0.933333472,0.029285755
MMP24,0.574268803,0.029291557
DGKA,0.84061704,0.029292909
SCN3A,0.993981111,0.029302365
KCNJ6,0.911046146,0.029318353
ADGRB2,0.515415947,0.029321524
LINC01902,0.866086905,0.029334515
HMOX2,0.678113685,0.029344787
NAA10,0.554118631,0.02935619
MYL6B,0.592637303,0.029360442
EXOC7,0.513464224,0.02936892
LRP1B,0.78686458,0.029376052
LRRC43,0.656761,0.029383475
LINC01427,0.79600238,0.029399971
ANKRD33B,0.493346567,0.029409617
DNAJB14,0.851617643,0.029420797
PLPPR4,3.514281946,0.029421719
POT1,0.975143741,0.02943303
ITIH4,0.940145067,0.029438428
LOC643015,1.049488408,0.029440403
TMEM62,0.805377321,0.029449142
PTDSS1,0.909550018,0.029466737
AHNAK2,0.7088471,0.029469903
SARDH,0.608978833,0.029475398
PCBP4,0.494142594,0.029477484
LOC101927571,0.725552123,0.029478609
SLC2A6,0.598145125,0.029487597
CIR1,0.898020418,0.029495286
GPR132,0.637796337,0.029513935
DIAPH2,0.749251888,0.029553724
VN1R83P,1.186729257,0.029555514
TSSC2,0.689147831,0.029577333
ASCC2,0.611113399,0.029578806
MAP1LC3B2,1.033287338,0.029602175
ZMIZ2,0.512452182,0.029623485
ZNF318,0.710150774,0.029632975
MCTP1,0.725504883,0.029633116
FBXO9,0.646144947,0.029634844
DPY19L2P3,0.631892791,0.029638068
WASHC3,0.819723847,0.029689103
HAND2-AS1,0.659659136,0.02970898
GLOD4,0.808286506,0.029726815
DEPTOR,0.610789577,0.029744924
MOG,1.247269418,0.029751881
DCLRE1C,0.780400649,0.029757662
DPCD,0.774348343,0.029763961
SNX30,0.755595129,0.029770049
DMTN,0.468758541,0.029771873
COPG2,0.829307617,0.029775155
RBM45,1.007651361,0.029787488
N4BP1,0.711442481,0.029802856
RSPO2,1.021620009,0.029807377
PTS,0.836218504,0.029811145
MYCN,0.562549234,0.029816007
TRAF3IP1,0.6910413,0.029816158
ZNF266,0.971573866,0.029823013
COX4I1,0.701745668,0.02983025
SLC25A34,0.612218496,0.029845634
TNPO1P1,1.041072637,0.029850176
ZNF595,0.879469249,0.029882406
LOC105377177,0.747980756,0.029887582
NDUFA4,1.031831511,0.029932529
TARDBP,0.712429542,0.029937708
LOC102724593,0.677428512,0.029946772
TMSB15B,0.76481504,0.029956898
POFUT2,0.716433534,0.029958488
MSH6,0.608589752,0.029966195
UBP1,0.715332307,0.029968938
ZNF557,0.662005235,0.029993982
ZNF841,0.732856061,0.030015364
IFRD2,0.556890357,0.030023609
WDR91,0.665328274,0.030030739
PRKAR1A,0.757730193,0.030053838
TNNT2,0.86197021,0.030073806
CAPN14,1.149734821,0.030083255
TRIM73,0.52589707,0.030083707
ZNF347,0.622354361,0.030095819
THEM4,0.769805127,0.030100588
PACRG,0.982560402,0.030110647
PCBD2,0.541535073,0.030126191
ANXA7,0.775932617,0.030150579
RTEL1,0.66577428,0.03016161
TLCD1,0.85875801,0.030174983
IQCH,1.005152402,0.030185017
POTEM,0.728390785,0.030187491
ATP5MF-PTCD1,0.95270158,0.030193972
ZNF582-DT,0.758810901,0.030197515
MINAR1,0.787898535,0.030201452
NDUFS7,0.551158326,0.030216403
ADGRA1,1.392036743,0.030233573
ZNF804B,1.237514591,0.030244745
TNNC2,0.9455636,0.030262033
TEX9,0.751458678,0.030273204
GOLGA8A,1.12359709,0.030276801
FBXO34,0.743844982,0.030278097
ACTR10,0.942170849,0.030278614
JPT1,0.780230387,0.030280316
MTERF2,0.61913495,0.030301621
HCN3,1.025829735,0.030327885
OLFM3,1.457958281,0.030335519
IFT20,0.729289429,0.030357557
CFAP54,0.628868669,0.030360975
MDN1,0.727901322,0.030367277
TOMM70,0.817515455,0.030376194
CDHR1,0.763012623,0.030376758
LINC02904,0.681048869,0.030381875
GALNT12,1.117751048,0.030383314
EME2,0.74009363,0.030399255
PRKRIP1,0.587317268,0.030407544
SPRYD3,0.607368908,0.030436192
GPR199P,0.982894227,0.030441775
OXNAD1,0.826819506,0.030468882
SPTLC1,0.66674793,0.030489395
CCDC13,0.762929715,0.030491912
RN7SL377P,0.928589437,0.030525204
LMO7-AS1,1.082245051,0.030528209
PTGES2,0.515190211,0.030546186
RASGEF1C,0.670869488,0.030573529
KLHL28,1.214543848,0.030584725
LDHAL6A,0.835522,0.030588404
C1orf115,0.769406451,0.030621248
SELENOO,0.597841092,0.030621787
DGKZP1,0.925724421,0.030634279
ATXN2L,0.675879393,0.030647667
CCDC26,0.685066922,0.030647752
ZNF583,0.659172272,0.03066039
STX1A,0.675587531,0.030667241
ARL10,0.591441511,0.030678388
NKAPD1,0.728590817,0.030689434
NOL9,0.558534296,0.030693285
AMER1,0.657205083,0.030696736
GDF11,-0.703459105,0.030697271
CRYL1,0.760816472,0.030697443
OTUD5,0.680160019,0.030703331
C12orf40,0.855014589,0.030706565
TSNARE1,0.507229234,0.030737031
IFT27,0.638922198,0.030737231
DUSP10,0.904318833,0.030738002
RPS15AP3,1.175370412,0.030739651
SNRK,0.722357205,0.030742212
TMED4,0.581655313,0.030742303
PHF7,0.815500621,0.030742446
CROCCP2,0.532906453,0.030757351
TCF25,0.504384368,0.030765811
TOX,0.874298913,0.030776596
TUBD1,0.590255741,0.03079927
ACTR3B,0.803583345,0.030799381
RHO,0.881034214,0.030801577
MIR137HG,1.040789411,0.030812051
ADRB3,1.056789024,0.030819727
LINC01011,0.74095458,0.030832219
B3GALNT1,0.63577777,0.030868365
EIF4A2,0.939888762,0.030872163
BCAS3,0.671303683,0.030873489
ATG2A,0.494239031,0.030878435
GPR19,1.026018908,0.030888856
LRRC74B,0.818126016,0.030890584
CAD,0.607616411,0.030893045
ZNF830,0.728930434,0.030895501
CEP83,0.783873064,0.030899962
MAT2B,0.729003378,0.030911695
ZNF740,0.582913652,0.030916857
C3orf14,1.345496136,0.030931051
DENND6A-DT,0.768158397,0.030940897
DLGAP3,0.495378656,0.030943959
C4orf36,0.878892785,0.030960702
ADGRL1-AS1,0.638923884,0.030970973
RUFY2,0.848177353,0.030984468
MEST,0.780703989,0.03098812
PDPR,0.747378848,0.030989668
HMGCR,1.181972895,0.031016198
GRID2,0.814023954,0.031032884
ATP6AP2,0.91760538,0.031035256
ZNF233,0.865548103,0.031055693
LSP1P5,0.945977549,0.031060751
PCIF1,0.508401029,0.031079864
GABRB1,0.79356239,0.03108701
VPS18,0.591856763,0.031097134
PIK3C3,0.834705966,0.031109445
DGKQ,0.624551044,0.03110973
CFAP61,0.954980735,0.031121197
ZNF33A,0.840513698,0.0311345
BCDIN3D-AS1,0.81927766,0.031143399
SMIM11,0.736627835,0.031153161
BBOF1,0.845160669,0.03115518
SLC37A1,0.699272854,0.031171744
ST7,0.94081479,0.031183857
PSMG4,0.613556349,0.031190939
ANKZF1,0.711278522,0.031198776
OR2M3,0.911845538,0.031209359
MED8,0.691161514,0.031209375
TIMM23,0.806565301,0.031211522
MESD,0.524020456,0.03121824
LINC02333,1.012359469,0.031224547
CC2D1A,0.608988867,0.031229343
ARF1,0.510776294,0.031238656
CELF5,0.566732657,0.031261005
PSMD12,0.845918747,0.031296266
HNRNPH2,0.90853108,0.031303023
CCDC77,0.597229421,0.031305091
POC5,0.877792553,0.031324556
RELCH,0.901992639,0.031336148
CLIP4,0.88923816,0.031338679
MAPKAPK5,0.569823668,0.031340788
PROSER2-AS1,0.993876245,0.031394682
FRG1,1.026895929,0.031407054
RBM22,0.800401055,0.03140813
NARS1,0.856837259,0.031408226
TXNDC15,0.685692543,0.031421525
CDA,-1.016604957,0.031427793
IFIT1,0.888028058,0.031508158
OLA1,0.942080993,0.031511989
SIGMAR1,0.513326596,0.031513232
DLK2,0.723022138,0.031523571
MTA1,0.449756946,0.031528124
RN7SL784P,0.933317376,0.03153025
CCDC186,0.925765925,0.031533425
LINC00870,1.136709645,0.031552009
GOPC,0.81140719,0.031581118
INIP,0.710092143,0.03159422
GABPB1-IT1,0.547323465,0.031599138
MIMT1,1.116738902,0.031602456
EXTL2,1.169006149,0.031603255
RUFY1,0.463521841,0.031636223
ZBTB11-AS1,0.528014087,0.03164428
GPATCH8,0.751984769,0.031645025
PRMT6,0.612964933,0.031649626
PHF20L1,0.699931479,0.031652379
YEATS2,0.592842393,0.031652456
ZNF45-AS1,0.995978965,0.031657912
CSF1R,0.516111493,0.031662969
TRMT1,0.690061219,0.031663508
YIPF3,0.544359939,0.031669212
TNFRSF21,0.605375595,0.031689185
ZNF525,0.699957851,0.031689416
PRIM1,0.781100825,0.031701101
RABGGTA,0.630753404,0.031717673
DLG3,0.797317035,0.031723376
ALOX12P2,0.917158242,0.031725036
SRD5A3-AS1,0.781267615,0.031740222
CHRD,0.655712138,0.031742723
RAPGEFL1,0.939995978,0.031748606
DNAJC25,0.823139352,0.031767466
ZNF175,0.767372237,0.031790024
C18orf25,0.665082347,0.03179581
AGPS,1.089385281,0.031816315
RPL5P18,1.055992361,0.031837983
RAB28,0.7709249,0.031845901
UBR3,1.108243047,0.031858824
ALG1L10P,0.912723762,0.031863535
CEP126,0.792824606,0.031869552
AFG3L1P,0.623488809,0.031881174
MTAP,0.68852573,0.031889925
SEZ6L,0.646776991,0.03190198
KATNIP,0.617484715,0.031903039
ISLR,0.70934884,0.03191087
HCG27,0.880490836,0.031913401
BSPRY,0.694553009,0.031914287
ODF2L,0.691443319,0.031934202
PLGLB1,1.259585647,0.031940004
NDUFB9,0.863933782,0.031944152
FSIP2-AS1,1.250253,0.031971157
ARMC7,0.504132753,0.03199264
PPP2R1A,0.512707059,0.031996226
TBCK,0.672659115,0.032006887
TRMU,0.529939996,0.032025622
RNPS1,0.48964254,0.032031167
STAT1,0.755023815,0.032034302
LINC00622,1.074754077,0.032038754
TRAPPC1,0.64025923,0.032052186
KCNJ4,0.556925022,0.032056383
CEP295,0.73426753,0.032057575
LINC00115,0.60798576,0.032079572
CAMK2D,0.694107691,0.032083216
C19orf48,0.662904343,0.032089352
GNPTG,0.573813178,0.032097524
BAHCC1,0.597773028,0.032108531
BRSK2,0.463289937,0.032139026
SLC66A1,0.513684929,0.032158255
SOX1-OT,0.736366021,0.032163334
KHK,0.685689221,0.03217087
ETNPPL,0.804738254,0.032172299
CD47,0.939031293,0.032199221
PCDH7,0.706812325,0.032201116
TTC39B,0.899345116,0.032215855
TUB,0.499969846,0.032235659
UHRF1BP1L,0.745994688,0.032240766
IFT172,0.890961487,0.032250746
KCND2,0.840282278,0.032256168
HNRNPDL,0.871120567,0.032257549
RNVU1-7,2.700386561,0.032272946
KLHDC2,0.728143245,0.032291312
KRT8P50,1.02883355,0.032308397
CA10,0.90895584,0.032313981
NDUFB1,0.813640486,0.032342101
MTMR7,0.961263645,0.032360885
IGSF22,1.118372025,0.032363487
VIRMA,0.664285297,0.032368212
PCNX2,0.678665002,0.03238302
TMEM237,0.770025723,0.032394934
SS18L1,0.57488361,0.032426624
TMEM35A,0.843889755,0.032434309
CARTPT,1.386989714,0.03246753
DNAH2,0.695116361,0.03248816
FTO,0.575030598,0.032529094
DMGDH,0.658741276,0.032546435
HSF4,0.807976798,0.032560256
FXYD6,0.551521365,0.032564319
ITGA2B,0.669128212,0.032567939
SHOC2,0.65552444,0.032568898
RN7SL131P,0.842091176,0.032578858
PLPP7,0.513484434,0.032582121
NUDT22,0.459802171,0.032602431
PPP1R9A,0.610605056,0.032618966
CARMIL1,0.624737152,0.032620495
RPUSD4,0.647416327,0.032630264
RWDD3-DT,0.6704882,0.032636327
LYRM4-AS1,0.639309719,0.032645784
GRASLND,0.815426916,0.032668677
WDR5B-DT,0.738935762,0.032668714
DISP1,0.715304933,0.032670753
OR2A5,0.980958667,0.032673397
IFT122,0.69908662,0.032673845
GATAD2B,0.715616284,0.032700414
FGF22,0.594242026,0.032700638
ARCN1,0.754555355,0.032778416
CACNA1A,0.762266159,0.032790125
XPNPEP1,0.667415407,0.032806823
CCT6P3,0.802324663,0.032821372
POLR1A,0.642266256,0.032854313
NUDT6,0.881857571,0.032859183
FOXC1,-0.828265128,0.032889809
DNAAF8,0.977189372,0.032902231
CLEC4M,0.863348816,0.032912705
BECN1,0.56794374,0.032919971
ZNF726,0.731749658,0.032951348
HMGN3-AS1,0.851332757,0.032981083
BDNF,1.091719792,0.032991728
IFT80,0.697583442,0.032996592
OR6C4,0.955465595,0.03301455
HHATL,0.738044608,0.033017808
UGGT2,0.798721043,0.033038552
DUSP15,0.729839512,0.033040313
MICAL2,0.763716091,0.033065794
PARG,0.952232907,0.033087213
ZNF57,0.910857871,0.033109974
FTX,0.803573413,0.033114749
BLZF1,0.68712093,0.033115473
LOC102546299,0.785689117,0.033146855
NTNG1,1.066326344,0.033153425
DNAJC4,0.485710642,0.033163216
PGPEP1L,0.995252279,0.033178007
LRRN3,0.83124706,0.033185453
PACRGL,0.811768536,0.033200894
PPIL3,0.808443126,0.033211303
RPS3AP31,1.137810076,0.033232675
REL-DT,0.921569264,0.033238136
GRK6,0.505666923,0.033240499
SYN2,0.680704146,0.033241176
DCDC2,1.087706614,0.033267333
ATG13,0.492495977,0.033278398
CASQ1,0.974373387,0.033280562
PDAP1,0.533634104,0.033286146
APRG1,0.724781149,0.033288483
CMAS,0.582650098,0.033290607
ARHGAP1,0.518941674,0.033293041
WWP1-AS1,1.026970609,0.033301239
GRIA1,0.805970492,0.033302909
UBE2M,0.454832391,0.033330586
LHFPL4,0.606541374,0.033369093
PEX11B,0.78961944,0.033370514
NAA38,0.748741152,0.033378103
TXLNB,0.788129382,0.033380854
PRPF3,0.63706011,0.033382321
GRIN2A,0.907774796,0.03338365
TMEM186,0.749835645,0.033406573
SETD6,0.763484335,0.033406878
ATP6V0D1,0.654566484,0.033411517
